account_id,entity_id,account_type,kyc_tier,status,opened_on,risk_category,is_fraud,pattern_type,branch_name,branch_code
ACC_00001,ENT_00002,CURRENT,2,ACTIVE,2024-12-02,CRITICAL,True,LAYERING,Kalyan East Branch,MH042
ACC_00002,ENT_00003,CURRENT,2,ACTIVE,2023-10-10,CRITICAL,True,LAYERING,Connaught Place Delhi,DL011
ACC_00003,ENT_00004,CURRENT,2,ACTIVE,2023-02-19,CRITICAL,True,LAYERING,MG Road Bengaluru,KA005
ACC_00004,ENT_00005,CURRENT,2,ACTIVE,2022-03-22,CRITICAL,True,LAYERING,Cyber City Gurugram,HR022
ACC_00005,ENT_00006,CURRENT,2,ACTIVE,2024-04-28,CRITICAL,True,LAYERING,BKC Corporate Tower,MH099
ACC_00006,ENT_00007,CURRENT,2,ACTIVE,2021-06-28,CRITICAL,True,LAYERING,Salt Lake Kolkata,WB014
ACC_00007,ENT_00008,CURRENT,2,ACTIVE,2023-02-25,CRITICAL,True,LAYERING,Banjara Hills Hyderabad,TS008
ACC_00008,ENT_00009,CURRENT,2,ACTIVE,2023-10-08,CRITICAL,True,LAYERING,Anna Salai Chennai,TN019
ACC_00009,ENT_00010,CURRENT,2,ACTIVE,2024-09-25,CRITICAL,True,LAYERING,Shivaji Nagar Pune,MH033
ACC_00010,ENT_00011,CURRENT,2,ACTIVE,2021-10-22,CRITICAL,True,LAYERING,Mumbai Main Branch,MH001
ACC_00011,ENT_00012,CURRENT,2,ACTIVE,2023-01-06,CRITICAL,True,LAYERING,Kalyan East Branch,MH042
ACC_00012,ENT_00013,CURRENT,2,ACTIVE,2023-12-25,CRITICAL,True,LAYERING,Connaught Place Delhi,DL011
ACC_00013,ENT_00014,CURRENT,2,ACTIVE,2023-06-12,CRITICAL,True,LAYERING,MG Road Bengaluru,KA005
ACC_00014,ENT_00015,CURRENT,2,ACTIVE,2021-03-28,CRITICAL,True,LAYERING,Cyber City Gurugram,HR022
ACC_00015,ENT_00016,CURRENT,2,ACTIVE,2022-10-22,CRITICAL,True,LAYERING,BKC Corporate Tower,MH099
ACC_00016,ENT_00017,SAVINGS,1,ACTIVE,2024-02-05,HIGH,True,SMURFING,Salt Lake Kolkata,WB014
ACC_00017,ENT_00018,SAVINGS,1,ACTIVE,2021-02-24,HIGH,True,SMURFING,Banjara Hills Hyderabad,TS008
